task_id,skill,min_skill_level
c3f381d1-bec8-4737-aa19-56eb9cdcdc4f,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
28fdce3e-7c63-4945-ba6f-ddc3d76d82dd,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
cf3a02d3-3a41-4e20-ae85-d075683c626b,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
188e22da-529c-49fd-9fdb-b03bfe965b43,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
7bf4b8c2-dd01-4426-8cc7-18a8b7c036bf,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
991e58c0-079e-42a7-9fe7-047696e0c7b7,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
68dd258c-7736-4355-8c06-ed2de6f2f881,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
b492a51b-7c25-41b4-bc23-090a6fed7bd7,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
fe9f5152-e1c0-41bb-a0e8-85f3784a4fbb,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
764fa65a-39f8-4a51-adb9-ea1be435ce00,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
493a4a8e-4b70-46b6-bc53-2aa1bedf06dd,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
c7fcc17d-a1f6-4483-b117-cdf822124d09,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
2108b3aa-a54d-4735-ac01-0734ff616b22,a5ea5d33-9805-4317-af33-a8b9430b1ead,2
742cde02-9e95-436d-824d-1ffbb691bc6a,a5ea5d33-9805-4317-af33-a8b9430b1ead,2
c57c1e7d-ed00-4ad5-ba45-84c5c63ab0e1,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
879b76a2-8bfa-4775-addc-e3f52a3512ed,a5ea5d33-9805-4317-af33-a8b9430b1ead,2
813e9239-0b04-40ca-b3cd-e0a121a9e441,a5ea5d33-9805-4317-af33-a8b9430b1ead,2
65759d44-6a36-42fc-9f20-038c9d369992,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
b6203b50-7aad-4e87-a5ce-81f5a8f39049,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
eac5062e-82b9-4275-849b-e2e4df105dbe,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,2
975471b1-d3a2-4daa-851a-657fb8e87b43,a5ea5d33-9805-4317-af33-a8b9430b1ead,2
9a5f737f-a0ba-48b8-b453-bbacd95659e4,a5ea5d33-9805-4317-af33-a8b9430b1ead,2
1a4318a7-03cb-4518-95ab-6226af9bbe12,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,2
8ee1c724-bf4e-4a06-9213-10ef93a6e70d,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,2
99b7970b-e063-4af1-ab7d-47c3c418c25b,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,2
43741849-5824-41d5-82a4-c9083ece16bc,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
0027d4bf-5c00-4447-9e89-44417fc0daa1,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
c04784c2-390d-462b-ac04-ebc9f306659f,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
90bfee12-0143-4604-a977-f9a5918ad521,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
37a4ccdb-4e05-46dd-b449-02938841d674,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
31735305-30ba-42fd-8c22-1160de2a5689,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
14eb5511-39e2-4194-93b6-39e2eba7ace2,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
7862ce4c-d3f7-408b-a527-7cfbd3378306,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
7b98342f-525e-49c9-a2be-43f317c5e70f,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
f076d44c-6cd7-4ad1-ab33-f14731247034,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
879d8270-0475-446f-b46a-81b002b46f25,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
bce6b5f0-7aa3-43ec-b0c3-2200b9bb476b,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
ce89037a-0210-4131-825f-3b62633538d6,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
80cd4948-3f31-427a-be35-f06d1420ba2b,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
accc14d4-e84b-4495-9351-a33f12fd3da4,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
e62f3c0c-520b-436a-b961-cf59350d158a,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
331721d2-6709-40b1-8fb9-49e2e50e7de1,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
d0ca3261-d9f4-40c3-96f8-858655d3e774,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
47d43e6c-5cd6-4883-87ac-4dcffc063465,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,3
8d09cf09-c28c-452c-9ea7-a58b77e24cc3,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,2
92c282b4-b65a-4667-9a94-32eaa75dc989,62475c34-e801-4502-a3f0-5f1655bbcb0e,2
e91c42d7-1b92-486e-a7d5-57327714d073,48a3f5ef-fcd6-4c61-9ed0-b5cc1c311bdf,2
3acbbdb6-ab5d-4f97-b490-3ae47d7688f2,aa1a4309-167a-4621-950f-198624e077dc,2
